epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,65.5144,1.45191,3.58424,1.31967,0.39252,0.20309,0.17096,0.0813,1.62811,3.73175,1.35358,0.000659091,0.000659091,0.000659091
2,129.133,1.53653,2.97066,1.38722,0.33274,0.25386,0.19389,0.08337,1.76081,4.49382,1.62934,0.00131263,0.00131263,0.00131263
3,194.027,1.61062,2.54955,1.42767,0.38334,0.28477,0.27128,0.13683,1.91322,6.38167,1.72705,0.00195297,0.00195297,0.00195297
4,256.674,1.6331,2.32179,1.45976,0.42362,0.2649,0.25142,0.13792,1.72612,3.26566,1.48152,0.0019406,0.0019406,0.0019406
5,317.685,1.64974,2.1963,1.47067,0.40405,0.35099,0.31185,0.16961,1.7046,2.68098,1.45321,0.0019208,0.0019208,0.0019208
6,379.103,1.59766,2.07263,1.4223,0.55073,0.31931,0.34088,0.19189,1.72491,2.30526,1.46679,0.001901,0.001901,0.001901
7,440.565,1.60173,2.06112,1.42612,0.55091,0.29801,0.33582,0.17976,1.77094,2.22118,1.47477,0.0018812,0.0018812,0.0018812
8,500.615,1.6082,1.9861,1.44087,0.48065,0.3223,0.30545,0.16078,1.80244,2.35211,1.51417,0.0018614,0.0018614,0.0018614
9,562.72,1.55882,1.9386,1.39827,0.49671,0.40397,0.37245,0.21307,1.71787,2.0446,1.4715,0.0018416,0.0018416,0.0018416
10,623.501,1.54291,1.90278,1.40804,0.43984,0.3223,0.31296,0.18358,1.63577,2.22831,1.41714,0.0018218,0.0018218,0.0018218
11,684.83,1.54434,1.89703,1.40244,0.49027,0.39956,0.37632,0.21841,1.65405,1.98027,1.43124,0.001802,0.001802,0.001802
12,745.223,1.54892,1.89593,1.38858,0.56493,0.3819,0.39301,0.23662,1.64772,1.9857,1.42155,0.0017822,0.0017822,0.0017822
13,806.959,1.51114,1.83348,1.36825,0.50169,0.33775,0.35219,0.19682,1.726,2.07491,1.42936,0.0017624,0.0017624,0.0017624
14,867.428,1.48114,1.77317,1.3444,0.48905,0.37086,0.38426,0.208,1.73897,1.98827,1.4525,0.0017426,0.0017426,0.0017426
15,927.755,1.48995,1.76249,1.37331,0.58152,0.29581,0.36233,0.21729,1.63578,2.00981,1.3896,0.0017228,0.0017228,0.0017228
16,987.216,1.49028,1.75981,1.35289,0.53494,0.40373,0.41584,0.24412,1.66193,1.91598,1.41968,0.001703,0.001703,0.001703
17,1048.01,1.45762,1.73102,1.34831,0.46142,0.37969,0.37453,0.21699,1.68017,2.03859,1.43286,0.0016832,0.0016832,0.0016832
18,1108.83,1.47243,1.7373,1.35041,0.54005,0.38411,0.3945,0.23604,1.64105,1.98312,1.38354,0.0016634,0.0016634,0.0016634
19,1168.36,1.44958,1.69627,1.32066,0.55725,0.40618,0.41913,0.25275,1.59633,1.90499,1.37496,0.0016436,0.0016436,0.0016436
20,1228.93,1.47993,1.70801,1.35699,0.52997,0.40618,0.42465,0.26255,1.53383,1.78013,1.34527,0.0016238,0.0016238,0.0016238
21,1289.7,1.46185,1.67798,1.32421,0.54211,0.44592,0.44925,0.25365,1.68006,1.82793,1.42349,0.001604,0.001604,0.001604
22,1349.98,1.42861,1.60386,1.31526,0.51572,0.43267,0.42646,0.24741,1.61075,2.00026,1.36964,0.0015842,0.0015842,0.0015842
23,1410.42,1.42827,1.6468,1.3158,0.58084,0.37528,0.40058,0.23396,1.62245,1.85537,1.36424,0.0015644,0.0015644,0.0015644
24,1471.35,1.44305,1.63143,1.32595,0.53814,0.41153,0.44589,0.26109,1.6566,1.81903,1.37268,0.0015446,0.0015446,0.0015446
25,1531.97,1.4222,1.62496,1.31465,0.55906,0.42163,0.45577,0.26327,1.60134,1.78091,1.38064,0.0015248,0.0015248,0.0015248
26,1592.94,1.40857,1.61439,1.30342,0.5751,0.43922,0.45129,0.27091,1.60147,1.80392,1.35655,0.001505,0.001505,0.001505
27,1655.19,1.42419,1.6422,1.3358,0.60968,0.37748,0.44311,0.2614,1.66691,1.79587,1.40661,0.0014852,0.0014852,0.0014852
28,1715.91,1.42259,1.60881,1.29775,0.5729,0.42344,0.45481,0.27386,1.58007,1.78602,1.33178,0.0014654,0.0014654,0.0014654
29,1776.82,1.40369,1.57606,1.30177,0.53346,0.45695,0.46513,0.26911,1.63533,1.78313,1.38224,0.0014456,0.0014456,0.0014456
30,1837.87,1.39117,1.52808,1.28183,0.59518,0.48033,0.48589,0.30779,1.49309,1.68107,1.30441,0.0014258,0.0014258,0.0014258
31,1900.91,1.40425,1.54304,1.29089,0.56647,0.43488,0.47024,0.27167,1.58554,1.75644,1.3369,0.001406,0.001406,0.001406
32,1961.45,1.38298,1.51505,1.28578,0.59274,0.46799,0.49215,0.28085,1.62479,1.73491,1.35577,0.0013862,0.0013862,0.0013862
33,2021.8,1.38967,1.51415,1.29641,0.62648,0.4332,0.4805,0.29122,1.57713,1.68185,1.34441,0.0013664,0.0013664,0.0013664
34,2083.12,1.36326,1.47502,1.27922,0.69581,0.39735,0.47894,0.28249,1.61078,1.72798,1.34011,0.0013466,0.0013466,0.0013466
35,2142.61,1.39656,1.53618,1.2775,0.55966,0.4415,0.46278,0.26148,1.66219,1.77939,1.37328,0.0013268,0.0013268,0.0013268
36,2203.59,1.38417,1.51993,1.28302,0.66723,0.43488,0.48529,0.2941,1.56982,1.70963,1.32672,0.001307,0.001307,0.001307
37,2263.75,1.36036,1.4899,1.26628,0.61725,0.45212,0.4922,0.29661,1.58605,1.67582,1.32452,0.0012872,0.0012872,0.0012872
38,2324.99,1.35465,1.49754,1.26489,0.5695,0.48124,0.50452,0.31235,1.50454,1.90197,1.28998,0.0012674,0.0012674,0.0012674
39,2386.28,1.34986,1.46036,1.268,0.68992,0.43709,0.50473,0.30867,1.51404,1.65001,1.309,0.0012476,0.0012476,0.0012476
40,2446.58,1.35744,1.43774,1.26538,0.64283,0.45475,0.50176,0.29495,1.58965,1.6471,1.35221,0.0012278,0.0012278,0.0012278
41,2506.28,1.35522,1.42142,1.27035,0.57472,0.49007,0.51804,0.3248,1.51831,1.59733,1.30865,0.001208,0.001208,0.001208
