epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,85.501,1.49351,2.90161,1.41824,0.31792,0.26269,0.18464,0.10826,1.67727,6.67941,1.55512,0.000662857,0.000662857,0.000662857
2,170.656,1.71126,2.34269,1.56483,0.26198,0.19868,0.13463,0.06489,1.92982,7.49428,1.83285,0.00131636,0.00131636,0.00131636
3,254.484,1.74084,2.29352,1.55489,0.27333,0.27373,0.20431,0.10548,1.90557,3.26291,1.69391,0.00195667,0.00195667,0.00195667
4,337.873,1.77649,2.29502,1.59296,0.4199,0.28035,0.25671,0.13435,1.84045,2.37379,1.57092,0.0019406,0.0019406,0.0019406
5,422.1,1.72268,2.18614,1.5513,0.47385,0.29424,0.31473,0.17298,1.81948,2.40814,1.58829,0.0019208,0.0019208,0.0019208
6,506.838,1.70975,2.12395,1.54585,0.44265,0.28577,0.29192,0.14647,1.94464,2.38725,1.68427,0.001901,0.001901,0.001901
7,591.134,1.66864,2.12891,1.49488,0.50076,0.3245,0.34452,0.17095,1.88135,2.19062,1.57046,0.0018812,0.0018812,0.0018812
8,675.006,1.63364,2.08044,1.48119,0.50947,0.26932,0.2839,0.15476,1.77594,2.27373,1.53127,0.0018614,0.0018614,0.0018614
9,759.055,1.59386,1.99483,1.46534,0.50153,0.38647,0.37887,0.20291,1.78923,1.99845,1.48457,0.0018416,0.0018416,0.0018416
10,842.906,1.58092,1.95756,1.45057,0.38548,0.32671,0.30309,0.1711,1.67767,2.15556,1.46655,0.0018218,0.0018218,0.0018218
11,927.256,1.57266,1.92824,1.45233,0.43209,0.4128,0.35212,0.1811,1.76145,2.21021,1.47175,0.001802,0.001802,0.001802
12,1012.99,1.55235,1.9532,1.4208,0.51679,0.36424,0.38008,0.20537,1.74092,1.88226,1.45102,0.0017822,0.0017822,0.0017822
13,1098.04,1.53855,1.87987,1.41391,0.45256,0.45033,0.42708,0.24256,1.67955,1.89316,1.43486,0.0017624,0.0017624,0.0017624
14,1184.3,1.51996,1.84052,1.41309,0.41316,0.40618,0.35973,0.20352,1.71435,2.22614,1.44871,0.0017426,0.0017426,0.0017426
15,1268.55,1.51904,1.81594,1.3891,0.50914,0.3801,0.39486,0.23872,1.5575,1.98043,1.37172,0.0017228,0.0017228,0.0017228
16,1352.87,1.49434,1.81951,1.38185,0.55944,0.39294,0.40889,0.24364,1.56057,1.83794,1.39853,0.001703,0.001703,0.001703
17,1436.79,1.52079,1.85126,1.40399,0.56963,0.39735,0.42997,0.25925,1.56551,1.78276,1.37457,0.0016832,0.0016832,0.0016832
18,1520.62,1.47683,1.73551,1.37216,0.61047,0.40397,0.44476,0.26786,1.50142,1.80279,1.33059,0.0016634,0.0016634,0.0016634
19,1604.74,1.49804,1.77143,1.38063,0.53656,0.42426,0.45315,0.25097,1.70098,1.7856,1.42768,0.0016436,0.0016436,0.0016436
20,1688.4,1.46468,1.75616,1.3719,0.58233,0.40177,0.43705,0.24429,1.70372,1.84607,1.4267,0.0016238,0.0016238,0.0016238
21,1772.16,1.46304,1.74211,1.3465,0.61676,0.37307,0.45032,0.25112,1.67456,1.75803,1.39402,0.001604,0.001604,0.001604
22,1855.85,1.43282,1.65949,1.3219,0.59137,0.41851,0.4363,0.24405,1.66543,1.77739,1.41124,0.0015842,0.0015842,0.0015842
23,1940.91,1.43561,1.68516,1.3298,0.56929,0.36645,0.4104,0.24599,1.58522,1.8281,1.37977,0.0015644,0.0015644,0.0015644
24,2025.42,1.43383,1.67518,1.33501,0.55257,0.4128,0.44057,0.26395,1.55065,1.783,1.38899,0.0015446,0.0015446,0.0015446
25,2109.21,1.41655,1.67943,1.33988,0.57567,0.40132,0.45043,0.26947,1.56803,1.74347,1.36378,0.0015248,0.0015248,0.0015248
26,2193.85,1.44728,1.63118,1.35231,0.58878,0.40458,0.46942,0.28618,1.51675,1.66523,1.34554,0.001505,0.001505,0.001505
27,2278.31,1.46007,1.67696,1.36035,0.54479,0.4415,0.45356,0.25188,1.69541,1.70384,1.42031,0.0014852,0.0014852,0.0014852
28,2362.26,1.43211,1.62555,1.3255,0.58237,0.40177,0.43887,0.25754,1.62724,1.77101,1.3665,0.0014654,0.0014654,0.0014654
29,2446.56,1.43132,1.62251,1.34217,0.53546,0.46137,0.47211,0.27844,1.51885,1.68298,1.34016,0.0014456,0.0014456,0.0014456
30,2531.38,1.42179,1.62412,1.34099,0.58794,0.44371,0.47496,0.27325,1.61538,1.62726,1.375,0.0014258,0.0014258,0.0014258
31,2617.52,1.41906,1.61778,1.33684,0.57405,0.43046,0.45871,0.2813,1.49637,1.66829,1.30129,0.001406,0.001406,0.001406
32,2702.14,1.39341,1.60052,1.31677,0.56171,0.45033,0.45136,0.26365,1.54987,1.7365,1.33385,0.0013862,0.0013862,0.0013862
33,2786.46,1.41092,1.59165,1.32788,0.59933,0.44577,0.48706,0.29144,1.56127,1.59474,1.33554,0.0013664,0.0013664,0.0013664
34,2870.63,1.36787,1.57107,1.30846,0.52191,0.43929,0.46208,0.28036,1.52774,1.71963,1.32231,0.0013466,0.0013466,0.0013466
35,2954.52,1.36865,1.563,1.2918,0.55207,0.47341,0.4893,0.28584,1.56647,1.62124,1.34082,0.0013268,0.0013268,0.0013268
36,3038.41,1.35068,1.55649,1.29222,0.57089,0.42163,0.45551,0.27683,1.50554,1.64269,1.31522,0.001307,0.001307,0.001307
37,3122.47,1.35096,1.51089,1.28541,0.61218,0.44254,0.48552,0.28421,1.55064,1.64335,1.32921,0.0012872,0.0012872,0.0012872
38,3206.59,1.37438,1.53152,1.29471,0.62671,0.43488,0.48122,0.27378,1.63423,1.6923,1.40067,0.0012674,0.0012674,0.0012674
39,3291.11,1.37091,1.48343,1.29797,0.62391,0.48124,0.52163,0.30236,1.58934,1.56896,1.35802,0.0012476,0.0012476,0.0012476
40,3375.05,1.35181,1.49501,1.28961,0.59196,0.47397,0.4842,0.27814,1.58199,1.81393,1.36386,0.0012278,0.0012278,0.0012278
41,3458.59,1.36914,1.49251,1.28136,0.63056,0.45254,0.50598,0.30528,1.54164,1.5685,1.32777,0.001208,0.001208,0.001208
42,3542.39,1.3536,1.49375,1.28964,0.57054,0.47682,0.50056,0.31436,1.45942,1.62018,1.2859,0.0011882,0.0011882,0.0011882
43,3626.14,1.36143,1.46932,1.29415,0.61006,0.4702,0.51154,0.30052,1.56513,1.54817,1.32273,0.0011684,0.0011684,0.0011684
44,3710.2,1.34319,1.43928,1.27592,0.62726,0.48293,0.52166,0.31635,1.51002,1.70876,1.31287,0.0011486,0.0011486,0.0011486
45,3793.72,1.34652,1.49879,1.28419,0.62465,0.43267,0.50617,0.29876,1.56629,1.53522,1.34049,0.0011288,0.0011288,0.0011288
46,3878.22,1.34728,1.45833,1.27956,0.61729,0.48124,0.5138,0.30776,1.50679,1.54439,1.31965,0.001109,0.001109,0.001109
47,3961.67,1.3203,1.42559,1.26068,0.59896,0.4702,0.51068,0.2961,1.57188,1.64084,1.31612,0.0010892,0.0010892,0.0010892
48,4045.41,1.33788,1.44379,1.27687,0.61282,0.48344,0.52014,0.31761,1.49671,1.51802,1.29696,0.0010694,0.0010694,0.0010694
49,4129.15,1.30777,1.37613,1.25505,0.69017,0.48683,0.53764,0.34132,1.44545,1.47773,1.27195,0.0010496,0.0010496,0.0010496
50,4213.27,1.33835,1.40604,1.27027,0.56383,0.48565,0.51086,0.29834,1.60648,1.50771,1.33514,0.0010298,0.0010298,0.0010298
51,4296.85,1.30634,1.37062,1.24884,0.64767,0.49102,0.53076,0.32424,1.44205,1.49759,1.28118,0.00101,0.00101,0.00101
52,4381.59,1.31425,1.39869,1.25768,0.64675,0.44371,0.51568,0.3009,1.54421,1.56567,1.29691,0.0009902,0.0009902,0.0009902
53,4465.16,1.29792,1.34672,1.24258,0.66227,0.48344,0.54884,0.32337,1.52931,1.61734,1.32571,0.0009704,0.0009704,0.0009704
54,4548.98,1.30257,1.37826,1.26826,0.6177,0.47903,0.51228,0.30427,1.57791,1.5933,1.34426,0.0009506,0.0009506,0.0009506
55,4632.87,1.30755,1.36681,1.24306,0.59176,0.47682,0.51392,0.30176,1.58503,1.66781,1.33232,0.0009308,0.0009308,0.0009308
56,4716.93,1.29238,1.38748,1.25234,0.61983,0.49007,0.52901,0.33796,1.40208,1.45675,1.2665,0.000911,0.000911,0.000911
57,4800.85,1.29897,1.35074,1.25421,0.60781,0.49007,0.52891,0.31016,1.5633,1.53347,1.32149,0.0008912,0.0008912,0.0008912
58,4884.14,1.30852,1.35373,1.25755,0.6441,0.48786,0.53283,0.30458,1.59143,1.50696,1.33223,0.0008714,0.0008714,0.0008714
59,4967.57,1.28082,1.33465,1.23813,0.66064,0.49669,0.54848,0.33772,1.49717,1.51939,1.28997,0.0008516,0.0008516,0.0008516
60,5051.11,1.29159,1.30994,1.24485,0.63159,0.49007,0.53436,0.32352,1.5314,1.50309,1.31988,0.0008318,0.0008318,0.0008318
