epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.4126,1.52204,2.6381,1.31558,0.89945,0.01976,0.1575,0.07448,1.72274,3.27603,1.32797,0.00062,0.00062,0.00062
2,74.8183,1.59315,2.05335,1.35294,0.16806,0.0574,0.03173,0.01231,1.87158,3.19788,1.64185,0.00124753,0.00124753,0.00124753
3,112.058,1.59228,1.94825,1.37865,0.10536,0.17219,0.05536,0.02574,1.93488,3.27369,1.68853,0.00186238,0.00186238,0.00186238
4,148.479,1.60743,1.88387,1.4063,0.19095,0.18322,0.1051,0.04295,2.09499,3.06101,1.69973,0.0019406,0.0019406,0.0019406
5,183.948,1.62293,1.85506,1.39853,0.3199,0.32892,0.24139,0.12713,1.78007,4.03863,1.46626,0.0019208,0.0019208,0.0019208
6,220.619,1.60147,1.74773,1.38453,0.37557,0.27373,0.24621,0.13492,1.81583,5.96042,1.5143,0.001901,0.001901,0.001901
7,255.836,1.60036,1.74019,1.3772,0.48085,0.29139,0.29205,0.15516,1.83201,2.50944,1.49771,0.0018812,0.0018812,0.0018812
8,290.523,1.60425,1.71077,1.36272,0.48466,0.28918,0.28864,0.15357,1.81056,2.05638,1.46134,0.0018614,0.0018614,0.0018614
9,325.535,1.5676,1.66095,1.33829,0.47212,0.27373,0.2982,0.16822,1.72441,2.00099,1.34792,0.0018416,0.0018416,0.0018416
10,360.487,1.53847,1.58765,1.32526,0.48757,0.33113,0.32523,0.17915,1.72487,2.00056,1.39136,0.0018218,0.0018218,0.0018218
11,396.016,1.54267,1.59582,1.33583,0.53373,0.33554,0.3543,0.19402,1.69376,1.94905,1.39295,0.001802,0.001802,0.001802
12,431.8,1.55527,1.59886,1.33789,0.53814,0.3223,0.35101,0.19272,1.74661,2.27137,1.41345,0.0017822,0.0017822,0.0017822
13,466.802,1.53493,1.58451,1.31437,0.48086,0.39073,0.38156,0.19269,1.75199,1.77179,1.36126,0.0017624,0.0017624,0.0017624
