epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.4293,1.54635,2.90513,1.33019,0.82845,0.0575,0.21771,0.10667,1.61077,3.22881,1.16728,0.00048,0.00048,0.00048
2,70.2837,1.55007,2.1055,1.33856,0.17945,0.09286,0.05893,0.0255,1.78083,3.30719,1.56122,0.000970298,0.000970298,0.000970298
3,100.007,1.64858,2.04992,1.37436,0.09354,0.10952,0.041,0.01752,1.92606,4.19956,1.73306,0.0014507,0.0014507,0.0014507
4,130.09,1.67861,2.01445,1.40749,0.08092,0.07381,0.0168,0.00668,2.31905,7.18912,2.18115,0.00192119,0.00192119,0.00192119
5,157.858,1.7135,1.94787,1.47465,0.16163,0.12619,0.073,0.03287,1.92456,7.79272,1.86554,0.0019208,0.0019208,0.0019208
6,188.084,1.68807,1.88863,1.43866,0.27659,0.21905,0.12432,0.0603,1.95515,3.80403,1.75181,0.001901,0.001901,0.001901
7,216.616,1.67284,1.83897,1.43892,0.32957,0.19313,0.16607,0.08742,1.85756,4.61286,1.58482,0.0018812,0.0018812,0.0018812
8,244.866,1.61992,1.74477,1.39103,0.43808,0.33333,0.30709,0.1732,1.70723,2.32385,1.43967,0.0018614,0.0018614,0.0018614
9,275.769,1.62297,1.73978,1.39947,0.26045,0.1619,0.12269,0.05773,2.38459,2.89912,2.03786,0.0018416,0.0018416,0.0018416
10,305.99,1.59449,1.70899,1.38763,0.41464,0.27619,0.25551,0.13375,1.79345,4.01508,1.51275,0.0018218,0.0018218,0.0018218
11,334.975,1.63495,1.69773,1.40077,0.40427,0.27619,0.23535,0.12588,1.93716,3.30813,1.60387,0.001802,0.001802,0.001802
12,364.599,1.57187,1.66904,1.37198,0.56791,0.3411,0.35333,0.19964,1.64672,1.96864,1.40406,0.0017822,0.0017822,0.0017822
13,394.338,1.56472,1.61807,1.36802,0.47861,0.37381,0.34166,0.19387,1.68291,2.03572,1.39256,0.0017624,0.0017624,0.0017624
14,424.564,1.54021,1.57161,1.35471,0.5198,0.37143,0.36553,0.21834,1.67804,1.86674,1.41567,0.0017426,0.0017426,0.0017426
15,456.275,1.53374,1.56735,1.35346,0.56023,0.34048,0.34927,0.213,1.53616,2.42914,1.33366,0.0017228,0.0017228,0.0017228
16,486.642,1.55381,1.59891,1.36059,0.55454,0.37143,0.3797,0.20967,1.71632,1.9983,1.41632,0.001703,0.001703,0.001703
17,516.469,1.51696,1.56154,1.33716,0.47193,0.35952,0.33284,0.17773,1.75163,3.16125,1.38883,0.0016832,0.0016832,0.0016832
18,546.354,1.52676,1.53931,1.33797,0.61129,0.38095,0.40627,0.23611,1.57624,1.56665,1.31166,0.0016634,0.0016634,0.0016634
19,576.169,1.52096,1.5548,1.33248,0.55914,0.35714,0.36568,0.2022,1.65872,1.7729,1.3347,0.0016436,0.0016436,0.0016436
20,606.697,1.53744,1.55311,1.32997,0.58749,0.35714,0.38446,0.22039,1.69528,1.61657,1.3824,0.0016238,0.0016238,0.0016238
21,635.153,1.49845,1.4893,1.33384,0.61975,0.37143,0.40465,0.24779,1.54165,1.73054,1.32347,0.001604,0.001604,0.001604
22,663.595,1.47959,1.49286,1.30459,0.54827,0.41325,0.42052,0.25916,1.51793,1.47723,1.29026,0.0015842,0.0015842,0.0015842
23,692.957,1.49494,1.47473,1.30295,0.59992,0.38571,0.38817,0.20914,1.78045,1.92324,1.39541,0.0015644,0.0015644,0.0015644
24,721.982,1.47634,1.45957,1.32098,0.56901,0.40476,0.42044,0.22408,1.77291,1.65687,1.387,0.0015446,0.0015446,0.0015446
25,752.953,1.4437,1.41877,1.30456,0.65907,0.38571,0.41745,0.2359,1.64411,2.06677,1.34726,0.0015248,0.0015248,0.0015248
26,783.193,1.503,1.4535,1.32045,0.611,0.35476,0.38822,0.20695,1.73511,1.75483,1.37376,0.001505,0.001505,0.001505
27,812.919,1.46076,1.44229,1.30721,0.64998,0.40238,0.43159,0.24024,1.63814,1.76765,1.33616,0.0014852,0.0014852,0.0014852
28,842.979,1.45401,1.39981,1.29096,0.61714,0.3881,0.41357,0.21925,1.73662,1.55219,1.36999,0.0014654,0.0014654,0.0014654
29,872.017,1.43068,1.40322,1.2656,0.62958,0.4119,0.41712,0.22131,1.73288,1.67237,1.37588,0.0014456,0.0014456,0.0014456
30,900.691,1.43335,1.41404,1.29544,0.52982,0.44762,0.41572,0.25167,1.51305,1.47114,1.28535,0.0014258,0.0014258,0.0014258
31,929.893,1.45257,1.39041,1.28621,0.6794,0.39048,0.43684,0.25734,1.54393,1.45966,1.29856,0.001406,0.001406,0.001406
32,961.135,1.40095,1.3645,1.2743,0.61799,0.39762,0.43502,0.23239,1.66159,1.51873,1.33639,0.0013862,0.0013862,0.0013862
33,988.697,1.42882,1.37327,1.28719,0.61376,0.42143,0.43608,0.25476,1.55979,1.55876,1.27982,0.0013664,0.0013664,0.0013664
34,1019.43,1.43133,1.3636,1.26057,0.60117,0.39837,0.40873,0.23664,1.61222,1.64529,1.28494,0.0013466,0.0013466,0.0013466
35,1048.68,1.42163,1.34056,1.27278,0.57277,0.43095,0.44016,0.25765,1.56401,1.8693,1.28447,0.0013268,0.0013268,0.0013268
36,1077.94,1.40866,1.37036,1.26104,0.62635,0.42143,0.45887,0.24804,1.74328,1.50152,1.36804,0.001307,0.001307,0.001307
37,1107.57,1.42909,1.3224,1.26228,0.70641,0.39524,0.45388,0.24694,1.7043,1.44405,1.36863,0.0012872,0.0012872,0.0012872
38,1136.05,1.41304,1.32288,1.27041,0.55623,0.41429,0.41924,0.24326,1.62219,1.53222,1.32291,0.0012674,0.0012674,0.0012674
39,1167.11,1.36928,1.29744,1.24622,0.6356,0.39037,0.43026,0.25975,1.54693,1.45545,1.29074,0.0012476,0.0012476,0.0012476
40,1197.04,1.40491,1.31014,1.25445,0.70574,0.41116,0.45829,0.2476,1.68216,1.46653,1.32662,0.0012278,0.0012278,0.0012278
41,1225.16,1.42706,1.30273,1.26611,0.66389,0.42143,0.44519,0.25335,1.59228,1.54704,1.27762,0.001208,0.001208,0.001208
42,1253.8,1.39824,1.27335,1.24549,0.57622,0.43333,0.44582,0.26294,1.53077,1.54982,1.23971,0.0011882,0.0011882,0.0011882
43,1282.51,1.39993,1.31039,1.25105,0.6158,0.43886,0.45727,0.26334,1.54409,1.48697,1.26983,0.0011684,0.0011684,0.0011684
44,1311.53,1.3889,1.29329,1.25311,0.61035,0.41771,0.45216,0.25101,1.6615,1.55487,1.29694,0.0011486,0.0011486,0.0011486
45,1339.71,1.37441,1.27276,1.24152,0.6672,0.3881,0.44723,0.25991,1.59779,1.52257,1.28569,0.0011288,0.0011288,0.0011288
46,1369.52,1.38438,1.27314,1.23003,0.59092,0.40952,0.4239,0.23879,1.64011,1.77323,1.3066,0.001109,0.001109,0.001109
47,1398.17,1.35842,1.23519,1.24096,0.67596,0.42381,0.46551,0.2676,1.59047,1.53415,1.29133,0.0010892,0.0010892,0.0010892
48,1428.11,1.34446,1.22063,1.21491,0.7238,0.40238,0.44715,0.25722,1.52721,1.53599,1.24904,0.0010694,0.0010694,0.0010694
49,1456.72,1.35077,1.23202,1.23065,0.68087,0.44048,0.47881,0.25986,1.7068,1.47739,1.33301,0.0010496,0.0010496,0.0010496
50,1485.94,1.32949,1.22031,1.21023,0.64606,0.40476,0.47106,0.26586,1.60034,1.36529,1.29721,0.0010298,0.0010298,0.0010298
51,1514.8,1.36512,1.23158,1.23009,0.67282,0.40952,0.45915,0.26962,1.53907,1.55046,1.26839,0.00101,0.00101,0.00101
52,1542.88,1.36553,1.25367,1.22737,0.71275,0.40952,0.47863,0.27128,1.6502,1.63737,1.31319,0.0009902,0.0009902,0.0009902
53,1575.31,1.36576,1.21966,1.22305,0.60292,0.46429,0.48235,0.2868,1.5372,1.34715,1.26851,0.0009704,0.0009704,0.0009704
54,1603.91,1.33619,1.21213,1.22912,0.73942,0.40714,0.46419,0.26708,1.57282,1.50668,1.2632,0.0009506,0.0009506,0.0009506
55,1633.43,1.34688,1.1971,1.21777,0.66621,0.43571,0.48117,0.26025,1.6431,1.36849,1.27544,0.0009308,0.0009308,0.0009308
56,1663.75,1.33647,1.21835,1.21905,0.60461,0.46966,0.4725,0.28294,1.52784,1.37483,1.25832,0.000911,0.000911,0.000911
57,1691.72,1.34069,1.19203,1.2229,0.64606,0.40238,0.44689,0.25483,1.57346,1.4717,1.27235,0.0008912,0.0008912,0.0008912
58,1722.7,1.33926,1.21337,1.20524,0.6857,0.44762,0.49194,0.26619,1.64645,1.40263,1.30802,0.0008714,0.0008714,0.0008714
59,1751.28,1.34337,1.18859,1.21528,0.59512,0.45952,0.46567,0.27098,1.53776,1.43311,1.25256,0.0008516,0.0008516,0.0008516
60,1781.06,1.2992,1.14897,1.20954,0.68569,0.42593,0.48956,0.29759,1.48724,1.26846,1.2503,0.0008318,0.0008318,0.0008318
