epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.9299,1.56092,3.38795,1.38716,0.13939,0.22857,0.06206,0.02609,2.06875,8.65217,1.83809,0.000650794,0.000650794,0.000650794
2,69.7118,1.63546,1.8771,1.41069,0.00603,0.32857,0.00355,0.00171,2.72644,inf,5.15419,0.00130442,0.00130442,0.00130442
3,103.636,1.73904,1.95951,1.48527,0.0009,0.09524,0.00049,0.00025,2.89855,inf,8.56601,0.00194484,0.00194484,0.00194484
4,136.66,1.71501,1.89742,1.50359,0.07145,0.24048,0.06563,0.0306,2.09459,17.5842,1.61862,0.0019406,0.0019406,0.0019406
5,169.543,1.66761,1.83654,1.47898,0.36341,0.34252,0.26653,0.15025,2.30852,7.06756,1.6208,0.0019208,0.0019208,0.0019208
6,206.182,1.64719,1.81907,1.45658,0.41924,0.30714,0.24907,0.13432,2.22719,5.1327,1.53652,0.001901,0.001901,0.001901
7,238.876,1.61273,1.71294,1.41026,0.39378,0.33571,0.26756,0.14717,2.0354,3.83196,1.39985,0.0018812,0.0018812,0.0018812
8,273.902,1.61711,1.69604,1.39676,0.41295,0.37381,0.32737,0.18741,1.87691,2.62387,1.37463,0.0018614,0.0018614,0.0018614
9,306.929,1.59436,1.64519,1.37889,0.49665,0.38527,0.34293,0.18208,2.3161,2.61617,1.57697,0.0018416,0.0018416,0.0018416
10,340.637,1.5807,1.65257,1.40687,0.51894,0.37499,0.36663,0.20984,2.02365,2.24579,1.40655,0.0018218,0.0018218,0.0018218
11,376.722,1.55124,1.62062,1.37166,0.58672,0.34524,0.35782,0.18973,2.19388,2.79198,1.51484,0.001802,0.001802,0.001802
12,411.398,1.55182,1.57851,1.38294,0.5378,0.37381,0.3821,0.21766,1.93027,2.29736,1.35303,0.0017822,0.0017822,0.0017822
13,445.213,1.54319,1.57894,1.36081,0.63633,0.35476,0.40135,0.21636,2.13927,2.22617,1.43024,0.0017624,0.0017624,0.0017624
14,482.284,1.52934,1.58856,1.34923,0.49812,0.39938,0.37906,0.21795,2.1309,2.54123,1.42715,0.0017426,0.0017426,0.0017426
15,516.932,1.52601,1.53061,1.35204,0.56789,0.40238,0.39759,0.22628,1.96292,2.34173,1.42083,0.0017228,0.0017228,0.0017228
16,554.001,1.48759,1.51936,1.31459,0.61936,0.38571,0.40281,0.22295,2.14531,2.36152,1.40834,0.001703,0.001703,0.001703
17,587.62,1.47887,1.47355,1.32602,0.61045,0.36905,0.40214,0.22083,2.01397,2.84829,1.39065,0.0016832,0.0016832,0.0016832
18,622.786,1.47213,1.47564,1.32268,0.64002,0.40714,0.44032,0.25469,1.91329,2.61343,1.33549,0.0016634,0.0016634,0.0016634
19,659.067,1.48359,1.50728,1.31783,0.6086,0.3881,0.41339,0.22405,1.83632,2.03708,1.32557,0.0016436,0.0016436,0.0016436
20,694.502,1.4282,1.42116,1.30908,0.60214,0.39762,0.41556,0.23971,2.05271,2.23581,1.39356,0.0016238,0.0016238,0.0016238
21,726.576,1.46027,1.4325,1.33028,0.67332,0.40476,0.43736,0.25796,1.90368,2.17584,1.32719,0.001604,0.001604,0.001604
22,760.951,1.44616,1.42702,1.3014,0.61583,0.41429,0.43205,0.23643,1.90959,1.84449,1.3353,0.0015842,0.0015842,0.0015842
23,795.121,1.44378,1.43266,1.30478,0.64137,0.39286,0.41377,0.21773,2.20337,2.33701,1.44807,0.0015644,0.0015644,0.0015644
24,831.027,1.41257,1.37002,1.27537,0.60526,0.41667,0.43292,0.25525,1.8219,2.14235,1.31002,0.0015446,0.0015446,0.0015446
25,866.294,1.41959,1.40497,1.30213,0.65901,0.42795,0.46949,0.27663,1.95205,1.88583,1.33802,0.0015248,0.0015248,0.0015248
