epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.3417,3.17535,7.28774,2.62931,0.00296,0.31905,0.06235,0.03251,3.68452,8.59636,2.70899,0.000655367,0.000655367,0.000655367
2,70.0688,3.46627,5.92713,2.73085,0.27146,0.21905,0.14997,0.07902,3.87542,9.24752,3.08565,0.00130895,0.00130895,0.00130895
3,104.894,3.60761,5.32933,2.80593,0.23383,0.2119,0.13918,0.06452,4.3528,6.97788,3.66721,0.00194932,0.00194932,0.00194932
4,140.777,3.60754,4.95679,2.83625,0.39133,0.25952,0.21118,0.11379,3.98666,7.44724,3.23323,0.0019406,0.0019406,0.0019406
5,175.29,3.60642,4.52847,2.80542,0.42039,0.27857,0.25631,0.12011,4.02718,4.68616,2.93457,0.0019208,0.0019208,0.0019208
6,211.044,3.55867,4.27912,2.75755,0.52951,0.28333,0.29071,0.1485,3.85955,4.82524,2.83881,0.001901,0.001901,0.001901
7,245.882,3.49711,4.19811,2.73632,0.42216,0.32381,0.29658,0.15712,3.90233,4.61812,2.79876,0.0018812,0.0018812,0.0018812
8,280.66,3.50552,4.06969,2.71592,0.38631,0.34022,0.29256,0.15041,3.69279,4.98383,2.71066,0.0018614,0.0018614,0.0018614
9,316.3,3.45439,3.99583,2.69837,0.47076,0.32827,0.32585,0.18004,3.84411,4.25968,2.73747,0.0018416,0.0018416,0.0018416
10,351.184,3.43122,3.93561,2.70359,0.49259,0.36667,0.35375,0.19305,3.80366,3.89544,2.74616,0.0018218,0.0018218,0.0018218
11,385.752,3.39911,3.88792,2.67422,0.45292,0.34762,0.31323,0.15775,3.94414,4.0093,2.85142,0.001802,0.001802,0.001802
12,420.791,3.41341,3.80394,2.67797,0.45851,0.33095,0.30577,0.15195,3.84311,4.92339,2.73091,0.0017822,0.0017822,0.0017822
13,455.669,3.35334,3.68961,2.6061,0.45496,0.37143,0.3373,0.1883,3.75801,4.04675,2.69416,0.0017624,0.0017624,0.0017624
14,490.385,3.32616,3.7363,2.63413,0.54115,0.32381,0.32512,0.1879,3.73384,4.23549,2.70366,0.0017426,0.0017426,0.0017426
15,526.384,3.32216,3.68359,2.64571,0.47303,0.33333,0.31517,0.18058,3.72116,4.68983,2.7909,0.0017228,0.0017228,0.0017228
16,561.833,3.29739,3.65854,2.6036,0.55986,0.34762,0.36224,0.19871,3.7449,4.09432,2.69901,0.001703,0.001703,0.001703
17,597.049,3.34384,3.70772,2.67675,0.48039,0.37422,0.36984,0.19867,3.64849,4.41056,2.65594,0.0016832,0.0016832,0.0016832
18,631.75,3.252,3.59596,2.61771,0.49916,0.3119,0.31655,0.18576,3.62025,4.26526,2.66456,0.0016634,0.0016634,0.0016634
19,666.664,3.31359,3.67292,2.63799,0.54109,0.37381,0.38176,0.20515,3.88936,3.75803,2.74187,0.0016436,0.0016436,0.0016436
20,701.457,3.2362,3.47946,2.59388,0.54556,0.36905,0.38056,0.20164,3.79937,3.81834,2.76351,0.0016238,0.0016238,0.0016238
21,736.207,3.27934,3.48221,2.61759,0.55328,0.36272,0.38861,0.20566,3.81121,3.78911,2.71356,0.001604,0.001604,0.001604
22,770.525,3.21192,3.38852,2.5548,0.53262,0.38571,0.38682,0.21016,3.72789,3.84443,2.69293,0.0015842,0.0015842,0.0015842
23,804.577,3.16096,3.36364,2.57079,0.56275,0.38571,0.40309,0.21898,3.92125,3.87326,2.7376,0.0015644,0.0015644,0.0015644
24,839.992,3.18983,3.41972,2.57257,0.59527,0.36667,0.39248,0.19416,3.98912,3.84181,2.90145,0.0015446,0.0015446,0.0015446
25,873.959,3.19061,3.43737,2.60653,0.56319,0.35714,0.37112,0.21003,3.72862,4.43313,2.64474,0.0015248,0.0015248,0.0015248
26,908.6,3.16523,3.3508,2.5645,0.5879,0.38571,0.39389,0.22632,3.51494,3.60711,2.60983,0.001505,0.001505,0.001505
27,944.744,3.17647,3.35813,2.54134,0.58862,0.37816,0.38869,0.22553,3.60566,3.6252,2.63557,0.0014852,0.0014852,0.0014852
28,979.243,3.11935,3.28797,2.53695,0.5661,0.40694,0.41695,0.22534,3.80468,3.63458,2.73349,0.0014654,0.0014654,0.0014654
29,1013.8,3.13696,3.36156,2.55454,0.6429,0.40238,0.42785,0.24285,3.58988,3.42286,2.62153,0.0014456,0.0014456,0.0014456
30,1048.13,3.09095,3.28275,2.5082,0.72634,0.3619,0.41551,0.24717,3.68296,3.71021,2.56344,0.0014258,0.0014258,0.0014258
31,1083.27,3.17367,3.33849,2.54261,0.50879,0.3881,0.37538,0.20862,3.67145,4.0658,2.62712,0.001406,0.001406,0.001406
32,1117.85,3.08161,3.20672,2.5013,0.61152,0.38978,0.4103,0.22913,3.7611,3.64234,2.61533,0.0013862,0.0013862,0.0013862
33,1153.1,3.06733,3.23455,2.51364,0.63481,0.39524,0.42167,0.23244,3.78963,3.53045,2.67155,0.0013664,0.0013664,0.0013664
34,1186.71,3.03012,3.10769,2.49251,0.61417,0.41905,0.4363,0.2601,3.57652,3.49556,2.58248,0.0013466,0.0013466,0.0013466
35,1221.99,3.19864,3.32517,2.53923,0.61952,0.38095,0.41308,0.23831,3.61704,3.5638,2.52342,0.0013268,0.0013268,0.0013268
36,1257.47,3.09477,3.23224,2.51661,0.62939,0.39626,0.42169,0.24135,3.6247,3.47253,2.59381,0.001307,0.001307,0.001307
37,1292.02,3.07373,3.11704,2.48054,0.549,0.41429,0.4197,0.23443,3.72327,3.47493,2.58997,0.0012872,0.0012872,0.0012872
38,1326.92,3.04243,3.08401,2.46273,0.66699,0.3881,0.42246,0.24372,3.56087,3.41951,2.55213,0.0012674,0.0012674,0.0012674
39,1362.53,3.11118,3.23669,2.51673,0.69947,0.3881,0.4527,0.26017,3.49506,3.4252,2.52266,0.0012476,0.0012476,0.0012476
40,1397.73,3.06537,3.11057,2.5052,0.55581,0.40952,0.41665,0.23452,3.69042,3.53251,2.54388,0.0012278,0.0012278,0.0012278
41,1432.69,3.0294,3.12397,2.48497,0.49854,0.41429,0.39578,0.22021,3.56618,3.90353,2.54044,0.001208,0.001208,0.001208
42,1468.34,3.02148,3.08125,2.46284,0.60236,0.4,0.4202,0.24178,3.58109,3.80408,2.58671,0.0011882,0.0011882,0.0011882
43,1503.41,3.0329,3.08094,2.4706,0.67611,0.39761,0.45061,0.24318,3.69239,3.37835,2.59638,0.0011684,0.0011684,0.0011684
44,1538.99,2.99226,3.05599,2.46072,0.60622,0.4142,0.43366,0.2528,3.64387,3.31921,2.55296,0.0011486,0.0011486,0.0011486
45,1573.48,2.96968,3.00187,2.45643,0.6638,0.4119,0.43389,0.25012,3.58009,3.37025,2.53811,0.0011288,0.0011288,0.0011288
46,1609.05,3.05383,3.10567,2.44358,0.63489,0.4381,0.46516,0.27137,3.48985,3.20137,2.5334,0.001109,0.001109,0.001109
47,1644.33,3.00567,2.95985,2.41694,0.56352,0.41905,0.4275,0.23783,3.63687,3.43985,2.59983,0.0010892,0.0010892,0.0010892
48,1679.01,3.02343,3.00335,2.42663,0.5921,0.41474,0.43596,0.26059,3.49464,3.40303,2.50133,0.0010694,0.0010694,0.0010694
49,1714.16,2.95414,2.95329,2.45241,0.62163,0.44762,0.46085,0.25557,3.72918,3.3268,2.61501,0.0010496,0.0010496,0.0010496
50,1749.02,3.01214,2.9436,2.43214,0.61024,0.42497,0.43965,0.2425,3.69974,3.53137,2.55304,0.0010298,0.0010298,0.0010298
51,1784.35,2.99842,2.94736,2.44404,0.60738,0.41252,0.42173,0.24559,3.58734,3.73182,2.56321,0.00101,0.00101,0.00101
52,1819.54,2.94069,2.97586,2.43922,0.70431,0.40266,0.45412,0.25541,3.63234,3.2802,2.53106,0.0009902,0.0009902,0.0009902
53,1854.44,2.96808,2.93291,2.44636,0.58802,0.42139,0.43173,0.23349,3.82383,3.54136,2.61968,0.0009704,0.0009704,0.0009704
54,1889.78,3.01797,2.94752,2.44082,0.67913,0.40714,0.46005,0.27538,3.44074,3.3519,2.48855,0.0009506,0.0009506,0.0009506
