epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.4349,3.29035,7.01461,2.67339,0.11569,0.22381,0.07614,0.03272,3.85998,19.0405,3.50714,0.000659722,0.000659722,0.000659722
2,73.2863,3.76179,4.63105,2.98687,0.00654,0.27619,0.00378,0.00175,4.85982,353.046,5.23973,0.00131326,0.00131326,0.00131326
3,110.234,3.83429,4.49082,2.97544,0.30934,0.2119,0.16128,0.07371,4.37672,21.2618,3.38375,0.00195359,0.00195359,0.00195359
4,146.856,3.71143,4.42282,2.98464,0.38539,0.33571,0.25524,0.12947,3.84215,5.3518,3.05563,0.0019406,0.0019406,0.0019406
5,183.322,3.73351,4.24508,2.93567,0.43215,0.29524,0.24334,0.11606,3.87317,8.22279,2.9911,0.0019208,0.0019208,0.0019208
6,219.686,3.6915,4.23692,2.92597,0.35281,0.30238,0.2248,0.10245,4.35856,5.91289,3.24317,0.001901,0.001901,0.001901
7,255.904,3.71961,4.14368,2.92027,0.44028,0.32619,0.2688,0.13029,3.99272,5.24722,3.09955,0.0018812,0.0018812,0.0018812
8,292.173,3.53901,3.94642,2.8371,0.46767,0.36667,0.33083,0.14985,4.00671,4.90422,3.00165,0.0018614,0.0018614,0.0018614
9,328.446,3.60468,4.01231,2.82972,0.56259,0.34605,0.34215,0.16061,3.9594,4.63941,2.9296,0.0018416,0.0018416,0.0018416
10,364.595,3.52503,3.9049,2.79562,0.49123,0.32857,0.31068,0.17473,3.52198,4.111,2.76996,0.0018218,0.0018218,0.0018218
11,401.627,3.51654,3.91453,2.77642,0.4432,0.35476,0.31404,0.15785,3.79751,4.3258,2.84149,0.001802,0.001802,0.001802
12,438.826,3.45588,3.86377,2.74827,0.6171,0.33095,0.36113,0.19133,3.70419,3.97352,2.76659,0.0017822,0.0017822,0.0017822
13,475.617,3.37102,3.66111,2.70878,0.5417,0.35,0.35439,0.19654,3.68919,3.83956,2.74365,0.0017624,0.0017624,0.0017624
14,512.095,3.39079,3.67897,2.69654,0.5368,0.36667,0.34432,0.18198,3.65833,4.29806,2.73425,0.0017426,0.0017426,0.0017426
15,548.424,3.41114,3.76381,2.72737,0.53539,0.35394,0.35615,0.20105,3.4163,4.26776,2.61671,0.0017228,0.0017228,0.0017228
16,585.476,3.28976,3.55848,2.65655,0.47737,0.4045,0.36996,0.18052,3.8014,3.97299,2.81495,0.001703,0.001703,0.001703
17,622.004,3.29543,3.68534,2.66316,0.61546,0.35476,0.38951,0.19821,3.64786,3.6931,2.70488,0.0016832,0.0016832,0.0016832
18,659.132,3.34479,3.60986,2.66027,0.62774,0.36429,0.39005,0.21709,3.5339,3.54287,2.63003,0.0016634,0.0016634,0.0016634
19,696.481,3.23093,3.46221,2.6243,0.5901,0.36905,0.39333,0.22136,3.59785,3.4899,2.6977,0.0016436,0.0016436,0.0016436
20,733.302,3.28242,3.48769,2.6765,0.5224,0.4,0.37993,0.21651,3.46937,3.78042,2.66705,0.0016238,0.0016238,0.0016238
21,769.807,3.2893,3.47333,2.63937,0.52037,0.40714,0.39092,0.20862,3.58967,3.66596,2.69416,0.001604,0.001604,0.001604
22,806.311,3.20124,3.44282,2.61725,0.55,0.38704,0.38993,0.20676,3.5918,3.70387,2.67384,0.0015842,0.0015842,0.0015842
23,842.464,3.19993,3.36059,2.59783,0.51064,0.40498,0.39519,0.21969,3.5282,3.74629,2.60294,0.0015644,0.0015644,0.0015644
24,879.059,3.10249,3.2949,2.57273,0.60253,0.40952,0.4344,0.22374,3.64714,3.52271,2.69548,0.0015446,0.0015446,0.0015446
25,915.814,3.19554,3.36325,2.61136,0.59981,0.40714,0.42247,0.22716,3.54293,3.46381,2.70972,0.0015248,0.0015248,0.0015248
26,952.598,3.16532,3.30132,2.61076,0.60696,0.3881,0.43266,0.24029,3.65853,3.35451,2.67047,0.001505,0.001505,0.001505
27,990.622,3.25121,3.36314,2.59932,0.57896,0.38571,0.3955,0.21862,3.47643,3.57115,2.62904,0.0014852,0.0014852,0.0014852
28,1027.57,3.17623,3.30428,2.59098,0.61842,0.38095,0.40986,0.23491,3.32658,3.50954,2.57786,0.0014654,0.0014654,0.0014654
29,1064.15,3.1051,3.24256,2.56485,0.6212,0.39048,0.41578,0.21851,3.59299,3.45337,2.64725,0.0014456,0.0014456,0.0014456
30,1101.62,3.11385,3.15859,2.55254,0.61256,0.35238,0.42182,0.23413,3.49023,3.36521,2.61531,0.0014258,0.0014258,0.0014258
31,1139.95,3.15331,3.25339,2.54811,0.57238,0.37381,0.36929,0.20816,3.39636,3.81411,2.6164,0.001406,0.001406,0.001406
32,1176.89,3.07207,3.19488,2.52321,0.57568,0.40714,0.42203,0.24205,3.4437,3.57781,2.6049,0.0013862,0.0013862,0.0013862
33,1213.88,3.12005,3.1741,2.54076,0.61204,0.37143,0.41649,0.23666,3.44697,3.4443,2.60087,0.0013664,0.0013664,0.0013664
34,1251.56,3.10846,3.18536,2.53887,0.69851,0.37857,0.42872,0.24463,3.38885,3.31355,2.53053,0.0013466,0.0013466,0.0013466
35,1289.08,3.09245,3.1784,2.52215,0.63984,0.37857,0.44072,0.24527,3.44225,3.39355,2.58089,0.0013268,0.0013268,0.0013268
36,1325.93,3.07978,3.14021,2.55104,0.66488,0.40476,0.45031,0.24922,3.47744,3.28965,2.61108,0.001307,0.001307,0.001307
37,1362.89,3.03774,3.06048,2.50902,0.67337,0.38778,0.43764,0.25765,3.368,3.21527,2.54536,0.0012872,0.0012872,0.0012872
38,1399.61,3.04273,3.13352,2.52127,0.63219,0.43379,0.46497,0.26756,3.30015,3.14576,2.55984,0.0012674,0.0012674,0.0012674
39,1435.94,2.96799,3.01508,2.51482,0.55792,0.4381,0.44037,0.25784,3.33556,3.33572,2.56038,0.0012476,0.0012476,0.0012476
40,1472.68,3.04528,3.08741,2.51695,0.67353,0.40476,0.45313,0.258,3.3807,3.25429,2.55648,0.0012278,0.0012278,0.0012278
41,1508.6,2.98066,2.99615,2.49299,0.6687,0.39762,0.44705,0.24227,3.52207,3.61439,2.67136,0.001208,0.001208,0.001208
42,1545.84,3.06725,3.06533,2.50629,0.48196,0.4619,0.43805,0.2513,3.24621,4.13672,2.49727,0.0011882,0.0011882,0.0011882
43,1582.29,2.98333,2.9805,2.46614,0.62981,0.4381,0.46733,0.26708,3.23502,3.27467,2.49644,0.0011684,0.0011684,0.0011684
44,1618.58,2.93419,2.98444,2.48514,0.56559,0.40476,0.42425,0.25005,3.25928,3.38803,2.50083,0.0011486,0.0011486,0.0011486
45,1655.81,2.98655,3.05322,2.50275,0.64089,0.39093,0.43638,0.24835,3.30204,3.30781,2.54677,0.0011288,0.0011288,0.0011288
46,1692.34,2.9861,3.00846,2.46348,0.68821,0.39762,0.46267,0.25781,3.33137,3.22327,2.52386,0.001109,0.001109,0.001109
47,1728.49,2.96671,2.88365,2.4687,0.60808,0.40238,0.44195,0.26215,3.17912,3.3013,2.44876,0.0010892,0.0010892,0.0010892
48,1764.85,2.94946,2.87116,2.45897,0.69513,0.40952,0.47242,0.27572,3.30268,3.16588,2.4847,0.0010694,0.0010694,0.0010694
49,1801.13,2.9103,2.85967,2.43827,0.60476,0.43095,0.45934,0.26302,3.34033,3.33446,2.5161,0.0010496,0.0010496,0.0010496
50,1837.37,2.94596,2.94362,2.48279,0.65854,0.40238,0.4501,0.24015,3.58283,3.28499,2.60806,0.0010298,0.0010298,0.0010298
51,1873.9,2.95112,2.85609,2.46162,0.6632,0.43333,0.46466,0.26964,3.38471,3.4496,2.5619,0.00101,0.00101,0.00101
52,1909.9,2.93374,2.84958,2.45707,0.61553,0.43095,0.47659,0.26947,3.27602,3.28642,2.49891,0.0009902,0.0009902,0.0009902
53,1946.14,2.93568,2.83344,2.44544,0.63939,0.4095,0.45409,0.24968,3.48397,3.38609,2.57422,0.0009704,0.0009704,0.0009704
54,1982.06,2.91903,2.9045,2.44742,0.62665,0.4381,0.46417,0.24608,3.59283,3.27208,2.61324,0.0009506,0.0009506,0.0009506
55,2018.17,2.89653,2.77689,2.4308,0.69124,0.40238,0.46731,0.2727,3.25774,3.24081,2.47141,0.0009308,0.0009308,0.0009308
56,2054.19,2.93301,2.83759,2.41522,0.69751,0.3881,0.46229,0.2602,3.39605,3.25382,2.54332,0.000911,0.000911,0.000911
