epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.6047,1.52773,2.85266,1.43134,0.00581,0.62619,0.10079,0.04633,1.59094,3.30495,1.28494,0.00046,0.00046,0.00046
2,77.4225,1.48924,1.98675,1.38599,0.21478,0.01905,0.02269,0.01095,1.53075,3.35934,1.42106,0.000930694,0.000930694,0.000930694
3,107.977,1.55117,1.9055,1.43301,0.04313,0.09286,0.01817,0.0084,1.85804,3.59628,1.8166,0.00139188,0.00139188,0.00139188
4,138.167,1.64314,1.90252,1.50116,0.00174,0.1881,0.00105,0.00049,2.48632,inf,5.7409,0.00184357,0.00184357,0.00184357
5,167.796,1.65444,1.86165,1.50005,0.27604,0.1381,0.10011,0.04911,2.1686,5.01486,2.41194,0.0019208,0.0019208,0.0019208
6,197.918,1.67378,1.85179,1.528,0.08916,0.11514,0.03555,0.01871,2.08092,5.03378,2.33556,0.001901,0.001901,0.001901
7,230.058,1.61999,1.76822,1.494,0.06808,0.14524,0.05797,0.03873,1.74909,25.2453,1.84325,0.0018812,0.0018812,0.0018812
8,257.654,1.5906,1.68642,1.47508,0.38148,0.26667,0.2339,0.11456,1.96853,2.55917,1.78003,0.0018614,0.0018614,0.0018614
9,288.12,1.58405,1.66769,1.46742,0.37789,0.22381,0.20033,0.12149,1.68141,6.53377,1.58263,0.0018416,0.0018416,0.0018416
10,318.21,1.5588,1.64325,1.45974,0.4215,0.30476,0.26528,0.14834,1.73601,3.51438,1.6208,0.0018218,0.0018218,0.0018218
11,348.945,1.56526,1.62251,1.45115,0.49745,0.33333,0.3205,0.17164,1.6615,2.19223,1.52973,0.001802,0.001802,0.001802
12,379.794,1.55816,1.6143,1.44784,0.47951,0.29286,0.28878,0.16267,1.67561,1.92858,1.54919,0.0017822,0.0017822,0.0017822
13,409.26,1.54167,1.54891,1.41691,0.4791,0.35714,0.33679,0.17537,1.76029,4.04138,1.57655,0.0017624,0.0017624,0.0017624
14,439.132,1.5273,1.53364,1.43399,0.45594,0.35517,0.34494,0.19488,1.66474,2.07845,1.56758,0.0017426,0.0017426,0.0017426
15,468.601,1.52589,1.5462,1.44075,0.42837,0.32381,0.28923,0.13514,1.85538,2.31373,1.64518,0.0017228,0.0017228,0.0017228
16,497.319,1.49958,1.50452,1.41834,0.61301,0.38095,0.41576,0.24096,1.56084,1.98332,1.42727,0.001703,0.001703,0.001703
17,528.475,1.49344,1.50206,1.4237,0.57384,0.36429,0.38741,0.23083,1.50866,1.83257,1.4272,0.0016832,0.0016832,0.0016832
18,558.047,1.48789,1.47052,1.40628,0.5326,0.35476,0.3648,0.21257,1.60545,2.07675,1.49133,0.0016634,0.0016634,0.0016634
19,588.05,1.49986,1.46255,1.40509,0.63541,0.35952,0.38354,0.22213,1.6101,1.91014,1.4614,0.0016436,0.0016436,0.0016436
20,618.638,1.45592,1.41921,1.39951,0.5767,0.3881,0.37991,0.2097,1.62726,2.07757,1.46178,0.0016238,0.0016238,0.0016238
21,648.122,1.41932,1.3847,1.3781,0.66747,0.38571,0.40632,0.20302,1.82864,1.55978,1.57718,0.001604,0.001604,0.001604
22,676.64,1.4835,1.41369,1.41518,0.58194,0.40238,0.42758,0.23685,1.64891,1.51737,1.47973,0.0015842,0.0015842,0.0015842
23,706.431,1.45906,1.42281,1.38863,0.54429,0.41905,0.43116,0.21956,1.83671,1.6521,1.60433,0.0015644,0.0015644,0.0015644
24,737.482,1.44907,1.4086,1.38739,0.74278,0.37143,0.45049,0.24134,1.73187,1.50267,1.52565,0.0015446,0.0015446,0.0015446
25,764.277,1.43471,1.37471,1.38305,0.6118,0.40952,0.43091,0.23772,1.6472,1.77161,1.48347,0.0015248,0.0015248,0.0015248
26,794.621,1.45486,1.37894,1.3818,0.63589,0.36592,0.41973,0.19877,1.95162,1.81946,1.63604,0.001505,0.001505,0.001505
27,824.252,1.43822,1.39655,1.37525,0.59701,0.36683,0.40597,0.2225,1.6782,1.74117,1.50351,0.0014852,0.0014852,0.0014852
28,853.227,1.43806,1.35698,1.3661,0.64253,0.38095,0.40552,0.24165,1.53393,1.59614,1.42252,0.0014654,0.0014654,0.0014654
29,881.778,1.41788,1.32484,1.38007,0.63667,0.36716,0.40834,0.21602,1.79431,1.75282,1.55679,0.0014456,0.0014456,0.0014456
30,912.861,1.4245,1.33294,1.36397,0.58593,0.40767,0.42166,0.24093,1.56276,1.57804,1.39799,0.0014258,0.0014258,0.0014258
31,943.258,1.43213,1.33429,1.36015,0.60749,0.42619,0.44609,0.25595,1.62577,1.39891,1.42717,0.001406,0.001406,0.001406
32,974.124,1.40096,1.27358,1.3666,0.6913,0.38924,0.45367,0.26686,1.5629,1.51818,1.37963,0.0013862,0.0013862,0.0013862
33,1003.49,1.41184,1.29885,1.364,0.65121,0.40714,0.45061,0.24277,1.74114,1.45153,1.50332,0.0013664,0.0013664,0.0013664
34,1032.94,1.38145,1.27268,1.33777,0.56197,0.40626,0.39391,0.22057,1.64422,1.89812,1.47085,0.0013466,0.0013466,0.0013466
35,1063.24,1.39228,1.23378,1.34677,0.62118,0.39048,0.41745,0.22158,1.70099,1.83442,1.46458,0.0013268,0.0013268,0.0013268
36,1092.73,1.40687,1.31307,1.37184,0.70891,0.41168,0.45733,0.26324,1.57754,1.44075,1.4226,0.001307,0.001307,0.001307
37,1123.88,1.38837,1.25617,1.35588,0.71205,0.35915,0.42278,0.25053,1.57449,1.48233,1.40873,0.0012872,0.0012872,0.0012872
38,1153.02,1.36908,1.24897,1.3329,0.64789,0.40476,0.45717,0.2761,1.47481,1.34122,1.35951,0.0012674,0.0012674,0.0012674
39,1183.57,1.36802,1.25252,1.32889,0.65411,0.42619,0.47064,0.28401,1.48624,1.36208,1.37463,0.0012476,0.0012476,0.0012476
