Method,Dataset,Default mAP50,Default mAP50-95,Tuned mAP50,Tuned mAP50-95,mAP50 Improvement,mAP50-95 Improvement,Size (MB),Parameters (M),Best Confidence,FPS,Efficiency (mAP50/MB),Training Time (h:m),Part
yolov5s6u,TACO,0.56,0.352,0.641,0.442,8.0,9.1,29.6,15.3,0.4,32.7,0.0216,2h 20m,1
yolov8s,TACO,0.516,0.357,0.621,0.486,10.5,12.9,21.5,11.2,0.6,92.1,0.0288,0h 59m,1
yolov5n6u,TACO,0.544,0.337,0.62,0.424,7.6,8.7,8.7,4.3,0.3,49.7,0.0717,1h 44m,1
yolov5s,TACO,0.508,0.327,0.613,0.442,10.5,11.4,17.7,9.2,0.4,81.5,0.0346,1h 2m,1
yolov5n,TACO,0.488,0.325,0.601,0.457,11.3,13.2,5.3,2.7,0.5,85.7,0.1134,0h 49m,1
yolov8n,TACO,0.485,0.329,0.601,0.456,11.6,12.7,6.2,3.2,0.5,107.0,0.0962,0h 59m,1
yolo11n,TACO,0.46,0.303,0.599,0.456,14.0,15.3,5.4,2.6,0.6,121.5,0.1119,0h 50m,2
yolov9t,TACO,0.445,0.295,0.584,0.47,13.9,17.5,4.7,2.1,0.7,105.8,0.1231,0h 51m,2
yolov9s,TACO,0.47,0.313,0.581,0.436,11.2,12.3,14.7,7.3,0.5,86.8,0.0396,1h 2m,2
yolo12n,TACO,0.453,0.3,0.581,0.455,12.8,15.5,5.3,2.6,0.6,95.7,0.1089,0h 57m,2
yolov10s,TACO,0.447,0.292,0.574,0.427,12.6,13.6,15.9,8.1,0.5,92.4,0.0362,1h 1m,2
yolo11s,TACO,0.461,0.297,0.57,0.41,10.9,11.3,18.4,9.5,0.4,109.4,0.0309,0h 58m,2
yolov10n,TACO,0.437,0.255,0.565,0.373,12.8,11.8,5.6,2.8,0.3,138.0,0.101,0h 58m,2
yolo12s,TACO,0.464,0.318,0.563,0.442,10.0,12.4,18.1,9.3,0.5,84.7,0.0311,1h 1m,2
