epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.1891,1.57319,2.65438,1.34722,0.00525,0.56667,0.0596,0.02624,1.78446,3.52901,1.48471,0.00064,0.00064,0.00064
2,70.214,1.63331,2.11629,1.42581,0.05947,0.08333,0.01469,0.00652,1.91303,3.56224,1.85342,0.00128713,0.00128713,0.00128713
3,104.151,1.70886,2.04831,1.47407,0.09208,0.17619,0.03401,0.01429,2.08631,3.67942,1.8888,0.00192119,0.00192119,0.00192119
4,137.196,1.73319,1.99993,1.5087,0.15271,0.12619,0.06054,0.02908,1.9901,10.3341,1.92281,0.0019406,0.0019406,0.0019406
5,172.742,1.70325,1.93712,1.50245,0.21393,0.24048,0.11033,0.05705,1.92181,5.67443,1.8671,0.0019208,0.0019208,0.0019208
6,205.311,1.67789,1.86667,1.48151,0.05254,0.12857,0.02388,0.01206,1.86326,14.9,1.74962,0.001901,0.001901,0.001901
7,240.171,1.65491,1.76962,1.44429,0.3942,0.29048,0.24239,0.12524,1.85064,5.15719,1.61711,0.0018812,0.0018812,0.0018812
8,273.456,1.60721,1.73695,1.42653,0.50981,0.34286,0.32035,0.16995,1.75694,3.31415,1.57285,0.0018614,0.0018614,0.0018614
9,307.783,1.60871,1.72387,1.43775,0.51283,0.38571,0.34421,0.17698,1.79896,1.95436,1.48228,0.0018416,0.0018416,0.0018416
10,341.381,1.57514,1.68466,1.40974,0.53452,0.34449,0.35422,0.21074,1.53411,2.34107,1.36866,0.0018218,0.0018218,0.0018218
11,375.981,1.5921,1.67953,1.4262,0.53887,0.36905,0.36167,0.20443,1.67995,2.07184,1.48596,0.001802,0.001802,0.001802
12,408.026,1.54404,1.61206,1.38896,0.60921,0.35476,0.37273,0.2043,1.73216,1.76126,1.46855,0.0017822,0.0017822,0.0017822
13,444.437,1.5135,1.57145,1.36602,0.53562,0.33333,0.33185,0.18242,1.75731,2.30118,1.5023,0.0017624,0.0017624,0.0017624
14,477.743,1.53483,1.5728,1.38375,0.58437,0.36905,0.39682,0.21454,1.75751,1.84481,1.41578,0.0017426,0.0017426,0.0017426
15,511.533,1.53715,1.58946,1.39934,0.54831,0.38095,0.39378,0.22161,1.689,1.81822,1.4168,0.0017228,0.0017228,0.0017228
16,545.314,1.54822,1.57982,1.40014,0.55098,0.39524,0.39345,0.2255,1.68147,1.91956,1.42049,0.001703,0.001703,0.001703
17,580.038,1.5035,1.51256,1.36867,0.5241,0.44286,0.41769,0.2506,1.60533,1.56412,1.36595,0.0016832,0.0016832,0.0016832
18,614.373,1.47868,1.48651,1.35406,0.66163,0.36313,0.42961,0.25926,1.56984,1.49719,1.38059,0.0016634,0.0016634,0.0016634
19,647.57,1.52877,1.50547,1.36968,0.59211,0.40093,0.42114,0.22749,1.74348,1.61153,1.41526,0.0016436,0.0016436,0.0016436
20,681.495,1.47407,1.46892,1.3413,0.57196,0.39524,0.40307,0.22838,1.58985,1.82931,1.35609,0.0016238,0.0016238,0.0016238
21,716.031,1.48466,1.45334,1.34442,0.67132,0.41429,0.44195,0.2398,1.74683,1.86431,1.44217,0.001604,0.001604,0.001604
22,752.531,1.48695,1.4582,1.3448,0.57322,0.39762,0.41719,0.23499,1.67149,1.81714,1.41667,0.0015842,0.0015842,0.0015842
23,785.921,1.47949,1.47439,1.37085,0.64116,0.43095,0.44877,0.25827,1.59711,1.64882,1.39816,0.0015644,0.0015644,0.0015644
24,819.684,1.44979,1.3914,1.3205,0.59541,0.38543,0.40945,0.2179,1.74166,1.73451,1.41443,0.0015446,0.0015446,0.0015446
25,854.466,1.45915,1.43589,1.3303,0.5471,0.41429,0.41221,0.22817,1.64696,1.96379,1.40501,0.0015248,0.0015248,0.0015248
26,889.687,1.49783,1.42807,1.35079,0.57449,0.40714,0.40829,0.22473,1.69741,1.90539,1.40516,0.001505,0.001505,0.001505
27,924.665,1.44435,1.39939,1.32013,0.62899,0.34286,0.40083,0.22249,1.67162,2.00812,1.394,0.0014852,0.0014852,0.0014852
28,957.993,1.45351,1.38688,1.34192,0.66496,0.35,0.40732,0.21621,1.7435,1.64701,1.43337,0.0014654,0.0014654,0.0014654
29,991.291,1.42862,1.37853,1.30625,0.66112,0.41341,0.45748,0.25274,1.62511,1.52385,1.38008,0.0014456,0.0014456,0.0014456
30,1026.14,1.4522,1.39094,1.33294,0.66675,0.41429,0.45664,0.2554,1.63833,1.4771,1.37211,0.0014258,0.0014258,0.0014258
31,1061.48,1.42986,1.37862,1.33024,0.60026,0.43261,0.46485,0.2679,1.60007,1.4673,1.34788,0.001406,0.001406,0.001406
32,1095.58,1.44618,1.36683,1.31702,0.72934,0.38571,0.44876,0.25547,1.6944,1.7494,1.44303,0.0013862,0.0013862,0.0013862
33,1129.37,1.43352,1.3674,1.3251,0.65842,0.41305,0.45821,0.27087,1.57841,1.49775,1.35603,0.0013664,0.0013664,0.0013664
34,1164.24,1.40357,1.31603,1.29942,0.67232,0.4381,0.46453,0.25556,1.68376,1.55447,1.40562,0.0013466,0.0013466,0.0013466
35,1198.24,1.43497,1.359,1.33457,0.67043,0.41429,0.44897,0.26497,1.60485,1.50356,1.35643,0.0013268,0.0013268,0.0013268
36,1233.67,1.43001,1.36808,1.32086,0.64775,0.41667,0.45799,0.25466,1.66892,1.56332,1.39692,0.001307,0.001307,0.001307
37,1267.47,1.42885,1.33396,1.31529,0.61376,0.40238,0.42519,0.22112,1.82287,1.68726,1.41831,0.0012872,0.0012872,0.0012872
38,1303.13,1.41583,1.31611,1.30936,0.66146,0.42143,0.45865,0.25643,1.66632,1.42556,1.38255,0.0012674,0.0012674,0.0012674
39,1337.18,1.38016,1.29344,1.30043,0.70743,0.37996,0.44077,0.25396,1.60536,1.63543,1.33896,0.0012476,0.0012476,0.0012476
40,1373.93,1.38304,1.29142,1.29225,0.61006,0.40476,0.43741,0.23494,1.71148,1.5208,1.36873,0.0012278,0.0012278,0.0012278
41,1407.05,1.41753,1.30241,1.28792,0.73246,0.41905,0.47209,0.26081,1.65944,1.56768,1.36228,0.001208,0.001208,0.001208
42,1442.16,1.37298,1.27339,1.27028,0.66983,0.41667,0.4427,0.2512,1.56375,1.78406,1.33686,0.0011882,0.0011882,0.0011882
43,1476.11,1.39212,1.29202,1.28406,0.66333,0.41905,0.45155,0.24261,1.64213,1.52119,1.37598,0.0011684,0.0011684,0.0011684
44,1512.43,1.38099,1.27283,1.27618,0.62307,0.44524,0.46648,0.2678,1.66422,1.45941,1.37927,0.0011486,0.0011486,0.0011486
45,1546.41,1.37026,1.26374,1.28017,0.62482,0.4619,0.48462,0.27209,1.67292,1.47818,1.38382,0.0011288,0.0011288,0.0011288
46,1582.93,1.37164,1.24982,1.27483,0.70345,0.43333,0.49298,0.29606,1.54292,1.41568,1.33809,0.001109,0.001109,0.001109
47,1617.06,1.37671,1.25124,1.26677,0.65304,0.44048,0.46558,0.23802,1.83293,1.56632,1.43236,0.0010892,0.0010892,0.0010892
48,1651.21,1.37948,1.24467,1.26556,0.60403,0.42495,0.45896,0.2921,1.4371,1.40335,1.27577,0.0010694,0.0010694,0.0010694
49,1684.72,1.36913,1.229,1.28425,0.56926,0.45476,0.46593,0.27531,1.54647,1.58627,1.32159,0.0010496,0.0010496,0.0010496
50,1719.75,1.33109,1.22581,1.26444,0.70843,0.43095,0.48644,0.29276,1.51338,1.43126,1.28281,0.0010298,0.0010298,0.0010298
51,1754.47,1.33675,1.20515,1.25292,0.65904,0.41667,0.45101,0.29603,1.36413,1.52861,1.27728,0.00101,0.00101,0.00101
52,1791.66,1.35253,1.23222,1.25911,0.62287,0.42381,0.46445,0.31691,1.31682,1.39326,1.22734,0.0009902,0.0009902,0.0009902
53,1825.91,1.30297,1.16214,1.23668,0.54369,0.39524,0.4109,0.27213,1.34484,1.61539,1.25353,0.0009704,0.0009704,0.0009704
54,1861.65,1.31367,1.21467,1.2384,0.67288,0.43589,0.48633,0.31906,1.39457,1.42966,1.25602,0.0009506,0.0009506,0.0009506
55,1894.55,1.32278,1.20844,1.24708,0.72138,0.43571,0.49606,0.31918,1.39746,1.43081,1.26257,0.0009308,0.0009308,0.0009308
56,1930.5,1.32104,1.20311,1.24137,0.6897,0.471,0.50343,0.32876,1.31079,1.28449,1.21408,0.000911,0.000911,0.000911
57,1965.54,1.28249,1.16167,1.2389,0.58942,0.48194,0.49639,0.33608,1.26935,1.32647,1.20998,0.0008912,0.0008912,0.0008912
58,2000.79,1.28337,1.15864,1.23378,0.6236,0.43391,0.47962,0.32754,1.34235,1.44439,1.24963,0.0008714,0.0008714,0.0008714
59,2033.99,1.2676,1.15921,1.22339,0.54524,0.49385,0.48654,0.32986,1.22696,1.35825,1.18675,0.0008516,0.0008516,0.0008516
60,2069.02,1.2797,1.15108,1.23066,0.66795,0.47416,0.51706,0.31392,1.42681,1.25081,1.25162,0.0008318,0.0008318,0.0008318
61,2102.88,1.28634,1.14729,1.23831,0.63048,0.46905,0.49085,0.31961,1.29821,1.35535,1.21681,0.000812,0.000812,0.000812
62,2138.69,1.27938,1.15524,1.22828,0.6899,0.45238,0.48509,0.33557,1.19419,1.33608,1.18564,0.0007922,0.0007922,0.0007922
63,2172.99,1.2635,1.12949,1.21648,0.61142,0.45705,0.49596,0.33702,1.2522,1.29476,1.2071,0.0007724,0.0007724,0.0007724
64,2207.67,1.24683,1.09941,1.20567,0.69598,0.43571,0.48614,0.33848,1.22639,1.32452,1.19434,0.0007526,0.0007526,0.0007526
65,2242.47,1.25567,1.12135,1.21735,0.64059,0.4371,0.4786,0.32353,1.24082,1.4275,1.21119,0.0007328,0.0007328,0.0007328
66,2277.51,1.26657,1.11661,1.21558,0.62438,0.47381,0.48113,0.31604,1.30086,1.35663,1.23766,0.000713,0.000713,0.000713
67,2313.32,1.23432,1.09433,1.21736,0.72003,0.447,0.48768,0.32296,1.31673,1.34943,1.23278,0.0006932,0.0006932,0.0006932
68,2346.98,1.20847,1.07151,1.20072,0.71309,0.45476,0.51335,0.34293,1.26341,1.29292,1.21019,0.0006734,0.0006734,0.0006734
69,2381.23,1.22158,1.08445,1.1947,0.696,0.40952,0.47462,0.33305,1.20566,1.42616,1.1749,0.0006536,0.0006536,0.0006536
70,2416.9,1.23735,1.07773,1.20105,0.69791,0.41255,0.47191,0.32592,1.1646,1.48534,1.1775,0.0006338,0.0006338,0.0006338
71,2453.31,1.21432,1.04907,1.18553,0.68422,0.44882,0.5021,0.3414,1.23268,1.25677,1.1994,0.000614,0.000614,0.000614
72,2485.82,1.21593,1.05572,1.18485,0.64477,0.46673,0.49233,0.33943,1.16213,1.28624,1.15597,0.0005942,0.0005942,0.0005942
73,2520.31,1.20662,1.04827,1.18316,0.72987,0.45476,0.50732,0.34136,1.24281,1.2297,1.18624,0.0005744,0.0005744,0.0005744
74,2555.23,1.20292,1.04648,1.18326,0.57579,0.5,0.48829,0.33517,1.1789,1.27151,1.16434,0.0005546,0.0005546,0.0005546
75,2590.85,1.20537,1.02966,1.20129,0.72948,0.43333,0.49703,0.33898,1.20481,1.28818,1.17977,0.0005348,0.0005348,0.0005348
76,2623.67,1.19939,1.02181,1.18512,0.69703,0.45465,0.4985,0.3457,1.2047,1.23921,1.19548,0.000515,0.000515,0.000515
77,2659.23,1.19179,1.06013,1.18547,0.67886,0.46305,0.49939,0.34297,1.19107,1.26252,1.17718,0.0004952,0.0004952,0.0004952
78,2692.49,1.16088,1.00484,1.17365,0.67933,0.42381,0.47819,0.32257,1.26872,1.37767,1.20267,0.0004754,0.0004754,0.0004754
79,2726.22,1.19063,1.00586,1.17481,0.67004,0.45476,0.48239,0.33396,1.23798,1.28495,1.19852,0.0004556,0.0004556,0.0004556
80,2759.94,1.19161,1.01194,1.17202,0.6655,0.43333,0.4862,0.34134,1.2136,1.30037,1.2034,0.0004358,0.0004358,0.0004358
81,2796.66,1.16262,0.98168,1.16605,0.75403,0.43793,0.50407,0.36131,1.16728,1.17405,1.19612,0.000416,0.000416,0.000416
82,2832.12,1.16524,0.98829,1.16938,0.74742,0.41667,0.49434,0.34702,1.18781,1.23029,1.18365,0.0003962,0.0003962,0.0003962
