epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.6984,1.57069,2.3821,1.4511,0.30941,0.36905,0.21437,0.11485,1.78211,12.9727,1.85928,0.000655367,0.000655367,0.000655367
2,74.9422,1.7423,1.96493,1.56793,0.01896,0.13095,0.00882,0.00347,2.33572,inf,2.48224,0.00130895,0.00130895,0.00130895
3,111.393,1.83375,2.03146,1.61369,0.00454,0.19048,0.00325,0.00119,3.06638,92.0647,3.07189,0.00194932,0.00194932,0.00194932
4,148.918,1.79727,2.05651,1.61214,0.17679,0.26667,0.1442,0.06298,2.07216,9.78026,1.91641,0.0019406,0.0019406,0.0019406
5,184.871,1.74244,1.93809,1.56343,0.15589,0.15476,0.08921,0.03881,1.98636,9.59545,1.7575,0.0019208,0.0019208,0.0019208
6,222.02,1.69945,1.82863,1.5198,0.47368,0.36667,0.32518,0.16136,1.95144,2.8441,1.60148,0.001901,0.001901,0.001901
7,258.527,1.69023,1.86429,1.536,0.44045,0.33571,0.31835,0.16695,1.82564,3.06683,1.52654,0.0018812,0.0018812,0.0018812
8,295.753,1.66388,1.79498,1.50369,0.50884,0.32857,0.30239,0.16394,1.87518,2.55721,1.57563,0.0018614,0.0018614,0.0018614
9,332.589,1.63701,1.74419,1.48628,0.51515,0.32857,0.32402,0.16831,1.77527,2.00171,1.53195,0.0018416,0.0018416,0.0018416
10,369.985,1.62763,1.71828,1.488,0.46922,0.36667,0.33434,0.19699,1.7245,2.31625,1.47588,0.0018218,0.0018218,0.0018218
11,406.109,1.59815,1.67525,1.46424,0.58106,0.39286,0.40148,0.21545,1.866,2.19295,1.55315,0.001802,0.001802,0.001802
12,444.136,1.58522,1.64689,1.44227,0.49837,0.35714,0.32969,0.17273,1.9375,2.78545,1.56196,0.0017822,0.0017822,0.0017822
13,480.296,1.56266,1.6161,1.41646,0.6098,0.39286,0.40373,0.22907,1.74763,2.43694,1.46671,0.0017624,0.0017624,0.0017624
14,517.361,1.55513,1.64173,1.4283,0.54411,0.40952,0.40181,0.21047,1.85303,1.86087,1.54236,0.0017426,0.0017426,0.0017426
15,553.402,1.55044,1.60436,1.42532,0.54077,0.39048,0.40653,0.24425,1.64595,2.02594,1.45091,0.0017228,0.0017228,0.0017228
16,590.182,1.52359,1.59194,1.4047,0.55679,0.40978,0.39886,0.21581,1.82134,1.70829,1.52598,0.001703,0.001703,0.001703
17,625.867,1.55855,1.62554,1.44811,0.52978,0.38095,0.37013,0.21699,1.61462,2.17511,1.44014,0.0016832,0.0016832,0.0016832
18,663.126,1.5141,1.54388,1.40566,0.68622,0.39762,0.44684,0.2554,1.76879,1.66582,1.4802,0.0016634,0.0016634,0.0016634
19,699.195,1.53063,1.57727,1.43027,0.59132,0.4119,0.4216,0.22682,1.7867,1.81287,1.45289,0.0016436,0.0016436,0.0016436
20,737.357,1.48548,1.47563,1.4006,0.63703,0.40533,0.43799,0.24879,1.73706,1.71304,1.43627,0.0016238,0.0016238,0.0016238
21,772.904,1.49683,1.49525,1.40611,0.68505,0.37619,0.41964,0.23607,1.72293,2.44912,1.45911,0.001604,0.001604,0.001604
22,809.618,1.45634,1.4562,1.36598,0.69009,0.38571,0.43877,0.24457,1.79149,1.59115,1.451,0.0015842,0.0015842,0.0015842
