epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.014,1.50205,2.31925,1.49851,0.54054,0.33894,0.33506,0.17205,1.84741,3.73967,1.73263,0.000653333,0.000653333,0.000653333
2,76.2557,1.60626,1.74474,1.56212,0.03583,0.24441,0.0206,0.00855,2.06753,56.4099,2.76372,0.00130693,0.00130693,0.00130693
3,113.418,1.68846,1.91353,1.63265,0.25024,0.27381,0.19023,0.09991,1.92273,7.10312,2.09715,0.00194733,0.00194733,0.00194733
4,150.332,1.71819,1.87246,1.65675,0.42536,0.33333,0.29982,0.15381,1.73586,3.09039,1.98498,0.0019406,0.0019406,0.0019406
5,187.583,1.70568,1.85194,1.64018,0.46392,0.31667,0.29995,0.17361,1.69099,4.27874,1.69684,0.0019208,0.0019208,0.0019208
6,223.839,1.63389,1.75139,1.59365,0.35381,0.2881,0.23353,0.11692,1.92256,2.43311,1.8634,0.001901,0.001901,0.001901
7,260.353,1.60195,1.65005,1.57074,0.53763,0.28333,0.30858,0.17441,1.68358,2.12726,1.58781,0.0018812,0.0018812,0.0018812
8,296.729,1.60073,1.68798,1.57206,0.55996,0.35752,0.36284,0.18746,1.82129,2.2749,1.70659,0.0018614,0.0018614,0.0018614
9,333.337,1.56576,1.60697,1.5487,0.49462,0.33571,0.34075,0.19898,1.70538,1.80545,1.57827,0.0018416,0.0018416,0.0018416
10,370.296,1.58148,1.63704,1.55236,0.54832,0.30238,0.32469,0.19711,1.67311,2.62532,1.58745,0.0018218,0.0018218,0.0018218
11,407.633,1.58319,1.63282,1.55217,0.52363,0.35952,0.3543,0.19641,1.78518,2.01035,1.65529,0.001802,0.001802,0.001802
12,444.268,1.57007,1.64421,1.55852,0.51231,0.35238,0.35447,0.19244,1.74434,1.77767,1.59946,0.0017822,0.0017822,0.0017822
13,481.049,1.53265,1.54559,1.51953,0.55667,0.36175,0.38047,0.2069,1.71169,2.15034,1.56463,0.0017624,0.0017624,0.0017624
14,517.428,1.51007,1.51114,1.51225,0.56877,0.40238,0.39527,0.24123,1.55232,1.667,1.47807,0.0017426,0.0017426,0.0017426
15,553.789,1.48904,1.47519,1.50146,0.60103,0.41667,0.43815,0.2542,1.60571,1.51323,1.49306,0.0017228,0.0017228,0.0017228
16,590.922,1.49315,1.51015,1.49825,0.58137,0.3881,0.41768,0.25741,1.60682,1.49094,1.50315,0.001703,0.001703,0.001703
17,627.949,1.47231,1.44447,1.47738,0.63735,0.42143,0.44267,0.23904,1.71569,1.78994,1.54484,0.0016832,0.0016832,0.0016832
18,665.043,1.45572,1.40715,1.46443,0.6392,0.4119,0.44885,0.24806,1.7813,1.48342,1.64525,0.0016634,0.0016634,0.0016634
19,702.806,1.46075,1.43078,1.47514,0.63802,0.40476,0.42914,0.23921,1.6899,1.67119,1.5552,0.0016436,0.0016436,0.0016436
20,739.513,1.45647,1.38655,1.47668,0.613,0.41667,0.45038,0.25546,1.59473,1.46924,1.46727,0.0016238,0.0016238,0.0016238
21,776.012,1.44297,1.38586,1.4602,0.52291,0.40971,0.40857,0.22343,1.76578,2.10459,1.56719,0.001604,0.001604,0.001604
22,813.579,1.44139,1.35947,1.42835,0.6312,0.43333,0.44646,0.23824,1.7316,1.42856,1.55116,0.0015842,0.0015842,0.0015842
23,849.335,1.42521,1.34063,1.4379,0.72006,0.4,0.47262,0.24465,1.78744,1.4793,1.60311,0.0015644,0.0015644,0.0015644
24,885.491,1.40403,1.3506,1.42175,0.67818,0.37381,0.4442,0.25574,1.6443,1.74741,1.47676,0.0015446,0.0015446,0.0015446
25,921.628,1.45395,1.36717,1.44824,0.63324,0.44286,0.47276,0.25059,1.78622,1.4287,1.54676,0.0015248,0.0015248,0.0015248
26,957.582,1.39442,1.32043,1.42598,0.68877,0.41626,0.45465,0.26103,1.64151,1.52786,1.50172,0.001505,0.001505,0.001505
27,995.043,1.41963,1.32647,1.45087,0.66516,0.41667,0.46074,0.26279,1.65189,1.4566,1.52933,0.0014852,0.0014852,0.0014852
28,1031.92,1.39777,1.31446,1.43922,0.70055,0.41218,0.46151,0.24839,1.75858,1.74861,1.54469,0.0014654,0.0014654,0.0014654
29,1068.2,1.39966,1.313,1.41867,0.69349,0.4148,0.48216,0.26833,1.63369,1.37544,1.48369,0.0014456,0.0014456,0.0014456
30,1104.88,1.39034,1.30091,1.43256,0.70014,0.39471,0.45953,0.27259,1.56615,1.39749,1.46749,0.0014258,0.0014258,0.0014258
31,1141.17,1.39624,1.27976,1.41952,0.68344,0.39524,0.47231,0.28169,1.53874,1.51524,1.44819,0.001406,0.001406,0.001406
32,1177.26,1.38632,1.28926,1.43209,0.64792,0.42143,0.45454,0.25291,1.60991,1.54692,1.47815,0.0013862,0.0013862,0.0013862
33,1213.07,1.38862,1.27856,1.42036,0.75849,0.40714,0.48027,0.27519,1.62446,1.35838,1.47002,0.0013664,0.0013664,0.0013664
34,1249.3,1.3665,1.2025,1.39295,0.70015,0.43365,0.49956,0.27324,1.67064,1.53389,1.51619,0.0013466,0.0013466,0.0013466
35,1286.52,1.3706,1.22896,1.41309,0.5917,0.44524,0.4706,0.27911,1.53059,1.53873,1.43657,0.0013268,0.0013268,0.0013268
36,1322.77,1.34515,1.20689,1.3889,0.61491,0.41905,0.45963,0.27256,1.60953,1.42262,1.4676,0.001307,0.001307,0.001307
37,1359.16,1.35176,1.18214,1.37081,0.68663,0.42857,0.48627,0.26949,1.69735,1.37977,1.53159,0.0012872,0.0012872,0.0012872
38,1396.25,1.36183,1.22285,1.40899,0.64384,0.40714,0.46964,0.26529,1.65793,1.42133,1.48282,0.0012674,0.0012674,0.0012674
39,1433.3,1.35289,1.21223,1.38942,0.70609,0.42143,0.49736,0.28342,1.63799,1.34184,1.48076,0.0012476,0.0012476,0.0012476
40,1470.1,1.35199,1.22083,1.39718,0.72412,0.44048,0.50582,0.29033,1.60586,1.337,1.49166,0.0012278,0.0012278,0.0012278
41,1506.7,1.34325,1.1881,1.37279,0.66902,0.4572,0.50178,0.27848,1.63372,1.3358,1.48851,0.001208,0.001208,0.001208
42,1543.83,1.35261,1.19823,1.39285,0.72306,0.45,0.51023,0.2922,1.60738,1.27877,1.46799,0.0011882,0.0011882,0.0011882
43,1581.02,1.33557,1.16305,1.37586,0.72297,0.43095,0.49319,0.27541,1.64853,1.43927,1.4737,0.0011684,0.0011684,0.0011684
44,1619.03,1.30417,1.18109,1.36718,0.66081,0.45952,0.50583,0.3166,1.41949,1.28327,1.36143,0.0011486,0.0011486,0.0011486
45,1655.9,1.29708,1.12408,1.36641,0.60809,0.49504,0.51422,0.30077,1.54086,1.33265,1.43152,0.0011288,0.0011288,0.0011288
46,1692.41,1.29867,1.13102,1.33288,0.63753,0.47321,0.51583,0.31361,1.48158,1.22407,1.37606,0.001109,0.001109,0.001109
47,1729.41,1.32452,1.12722,1.36999,0.65994,0.45744,0.50741,0.28051,1.70596,1.40711,1.5009,0.0010892,0.0010892,0.0010892
48,1765.92,1.32009,1.1434,1.36762,0.60319,0.46429,0.49614,0.31612,1.41459,1.3012,1.35234,0.0010694,0.0010694,0.0010694
49,1802.57,1.29598,1.10712,1.36153,0.71341,0.43859,0.49083,0.27375,1.65248,1.48908,1.49082,0.0010496,0.0010496,0.0010496
50,1839.08,1.31118,1.10599,1.35751,0.71331,0.42143,0.4927,0.28666,1.61099,1.3313,1.44103,0.0010298,0.0010298,0.0010298
51,1875.54,1.29703,1.10643,1.33278,0.71499,0.45,0.521,0.31513,1.51345,1.23077,1.41766,0.00101,0.00101,0.00101
52,1913.06,1.29385,1.11193,1.35073,0.74345,0.42857,0.51193,0.30898,1.50728,1.26511,1.39855,0.0009902,0.0009902,0.0009902
53,1951.32,1.28275,1.08832,1.36374,0.79796,0.43257,0.50311,0.30264,1.54828,1.24693,1.44828,0.0009704,0.0009704,0.0009704
54,1988.89,1.31916,1.10633,1.35515,0.67165,0.46755,0.51299,0.304,1.5623,1.25052,1.43313,0.0009506,0.0009506,0.0009506
55,2025.73,1.26385,1.06073,1.3336,0.76864,0.44524,0.51665,0.28659,1.62712,1.24712,1.4805,0.0009308,0.0009308,0.0009308
56,2062.96,1.29389,1.06812,1.33732,0.73263,0.46429,0.51786,0.31961,1.48036,1.25017,1.40575,0.000911,0.000911,0.000911
57,2099.68,1.28194,1.06598,1.34243,0.74685,0.42143,0.50648,0.29443,1.60825,1.3434,1.46093,0.0008912,0.0008912,0.0008912
58,2136.5,1.27175,1.05478,1.35495,0.71942,0.43333,0.5104,0.28447,1.65576,1.25698,1.47251,0.0008714,0.0008714,0.0008714
59,2174.66,1.26443,1.0361,1.32711,0.69997,0.43571,0.50577,0.31759,1.48588,1.45975,1.38393,0.0008516,0.0008516,0.0008516
60,2210.8,1.26172,1.02975,1.32871,0.68735,0.47632,0.54626,0.32082,1.5379,1.18041,1.4355,0.0008318,0.0008318,0.0008318
61,2247.9,1.24215,1.0202,1.33708,0.73415,0.45368,0.51817,0.30797,1.52756,1.20949,1.42439,0.000812,0.000812,0.000812
62,2284.86,1.27437,1.02804,1.32852,0.73438,0.43447,0.5122,0.31684,1.48062,1.32776,1.39568,0.0007922,0.0007922,0.0007922
63,2322.69,1.24248,1.01696,1.32199,0.72162,0.42857,0.50047,0.30421,1.52759,1.30993,1.41998,0.0007724,0.0007724,0.0007724
64,2359.67,1.26833,1.01489,1.32472,0.74372,0.46293,0.53546,0.31374,1.562,1.1561,1.42331,0.0007526,0.0007526,0.0007526
65,2398.14,1.25305,0.99102,1.3362,0.66401,0.48465,0.51885,0.3151,1.50731,1.24243,1.39819,0.0007328,0.0007328,0.0007328
66,2435.93,1.24502,0.98783,1.30335,0.68976,0.46905,0.51386,0.29368,1.54884,1.27231,1.41285,0.000713,0.000713,0.000713
67,2473.15,1.25435,1.02264,1.33816,0.66525,0.50476,0.53499,0.30804,1.59448,1.18731,1.44368,0.0006932,0.0006932,0.0006932
68,2509.81,1.23942,0.95615,1.31391,0.75397,0.44286,0.52588,0.31073,1.54432,1.28711,1.42321,0.0006734,0.0006734,0.0006734
69,2546.79,1.22861,0.94875,1.30779,0.72213,0.46905,0.54232,0.31034,1.56785,1.16834,1.45061,0.0006536,0.0006536,0.0006536
70,2584.64,1.24444,0.98535,1.30834,0.73868,0.46429,0.54337,0.31022,1.62485,1.20705,1.46476,0.0006338,0.0006338,0.0006338
71,2622.46,1.2026,0.94582,1.28739,0.7232,0.47381,0.53225,0.31211,1.57462,1.20247,1.44342,0.000614,0.000614,0.000614
72,2659.9,1.23547,0.93748,1.30688,0.77538,0.4381,0.537,0.31445,1.55256,1.23419,1.42701,0.0005942,0.0005942,0.0005942
73,2697.41,1.18622,0.90955,1.26913,0.76943,0.45476,0.53549,0.30286,1.60906,1.25802,1.45776,0.0005744,0.0005744,0.0005744
74,2734.24,1.22443,0.97067,1.30825,0.76031,0.46429,0.54502,0.32075,1.52788,1.17343,1.38409,0.0005546,0.0005546,0.0005546
75,2771.13,1.19259,0.91803,1.27602,0.81105,0.44967,0.54667,0.3368,1.42052,1.18429,1.35628,0.0005348,0.0005348,0.0005348
76,2808.15,1.20906,0.90026,1.28166,0.74936,0.44524,0.53614,0.31558,1.5125,1.23432,1.40503,0.000515,0.000515,0.000515
77,2845.32,1.1972,0.9284,1.2857,0.74763,0.45847,0.53793,0.31984,1.50955,1.21474,1.41897,0.0004952,0.0004952,0.0004952
78,2882.24,1.17756,0.91292,1.28565,0.75087,0.43775,0.51879,0.32877,1.42058,1.26782,1.35683,0.0004754,0.0004754,0.0004754
